"Id,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Motivation_Level,Internet_Access,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Gender"
"1693,Medium,Medium,Yes,9,Low,Yes,High,Medium,Private,Neutral,3,No,High School,Male"
"1694,High,Medium,No,5,Medium,Yes,High,Medium,Private,Positive,4,Yes,High School,Female"
"1695,Medium,Medium,No,4,Low,Yes,Medium,Low,Public,Neutral,3,No,High School,Male"
"1696,Low,Medium,Yes,8,Medium,Yes,Low,High,Private,Positive,3,No,College,Female"
"1697,Medium,High,Yes,6,Low,Yes,Low,Medium,Private,Neutral,2,No,Postgraduate,Male"
"1698,Medium,Medium,Yes,7,High,Yes,Low,High,Public,Positive,3,No,Postgraduate,Female"
"1699,Medium,High,Yes,8,High,Yes,Medium,Low,Public,Positive,3,No,High School,Female"
"1700,Medium,Medium,Yes,6,Medium,Yes,Low,Low,Public,Neutral,1,No,College,Female"
"1701,Low,Medium,No,7,Low,Yes,Low,Medium,Public,Positive,2,No,Postgraduate,Male"
"1702,Medium,Low,Yes,8,High,Yes,High,Medium,Public,Positive,2,No,College,Female"
"1703,Medium,High,Yes,9,High,Yes,Medium,High,Public,Positive,3,No,College,Male"
"1704,Medium,Low,No,6,Medium,Yes,Medium,Medium,Private,Neutral,2,No,High School,Female"
"1705,Medium,High,Yes,6,High,Yes,High,Low,Public,Negative,3,Yes,High School,Male"
"1706,High,Medium,No,8,Low,Yes,Low,Medium,Public,Neutral,3,No,Postgraduate,Male"
"1707,Low,Medium,Yes,7,Medium,Yes,Low,High,Public,Neutral,3,No,High School,Male"
"1708,Medium,Medium,No,7,Medium,Yes,Low,High,Public,Positive,2,No,High School,Female"
"1709,Medium,Low,Yes,9,Low,Yes,High,Medium,Public,Neutral,2,Yes,High School,Male"
"1710,Medium,Low,No,4,Medium,Yes,High,Medium,Public,Neutral,4,No,College,Female"
"1711,Medium,High,No,5,Medium,Yes,Medium,High,Public,Neutral,4,No,High School,Female"
"1712,High,Medium,No,4,Low,Yes,Medium,High,Public,Negative,3,No,High School,Female"
"1713,High,Medium,Yes,9,Medium,Yes,High,High,Public,Positive,2,No,Postgraduate,Male"
"1714,High,Low,Yes,8,Low,Yes,Low,Medium,Public,Neutral,2,No,Postgraduate,Female"
"1715,Low,Low,No,5,Medium,No,Medium,High,Public,Neutral,3,No,Postgraduate,Male"
"1716,Medium,Medium,Yes,7,Medium,Yes,Medium,Medium,Public,Neutral,4,No,High School,Male"
"1717,High,Medium,Yes,7,Low,Yes,Medium,Medium,Public,Neutral,2,No,Postgraduate,Female"
"1718,Medium,High,Yes,4,Medium,Yes,Medium,High,Private,Neutral,4,No,High School,Female"
"1719,High,Medium,Yes,7,Medium,Yes,High,Medium,Public,Negative,3,No,Postgraduate,Female"
"1720,Medium,High,Yes,5,Medium,Yes,Low,Medium,Public,Negative,2,No,High School,Male"
"1721,High,Low,Yes,8,Medium,Yes,Medium,High,Private,Positive,2,No,High School,Male"
"1722,High,Low,Yes,5,Low,Yes,High,High,Private,Neutral,3,No,College,Male"
"1723,Medium,Low,Yes,7,Low,No,Low,High,Public,Neutral,3,No,College,Male"
"1724,Low,High,Yes,9,High,Yes,High,Low,Public,Neutral,3,No,High School,Male"
"1725,Medium,High,No,8,Low,Yes,Medium,High,Public,Positive,4,Yes,High School,Male"
"1726,High,Low,No,8,Low,Yes,Low,Low,Public,Positive,3,No,Postgraduate,Female"
"1727,High,Low,Yes,7,Low,Yes,Medium,Low,Public,Positive,2,No,Postgraduate,Female"
"1728,Low,Medium,No,5,Low,Yes,High,Medium,Public,Negative,3,No,High School,Female"
"1729,Medium,High,No,6,Low,Yes,High,Medium,Private,Negative,4,No,College,Female"
"1730,High,High,No,7,Low,Yes,Low,Medium,Public,Positive,3,No,High School,Male"
"1731,Medium,Medium,No,7,Low,Yes,High,Medium,Public,Negative,3,No,Postgraduate,Male"
"1732,High,Medium,Yes,5,Low,Yes,Low,Medium,Private,Negative,2,No,High School,Female"
"1733,High,High,No,8,Low,Yes,Low,Medium,Private,Neutral,4,No,High School,Male"
"1734,High,Medium,No,5,Low,Yes,Medium,Medium,Public,Positive,3,No,College,Male"
"1735,Low,Medium,Yes,9,Medium,Yes,Medium,Low,Public,Positive,2,No,High School,Male"
"1736,Low,Medium,No,7,Medium,Yes,Medium,Medium,Public,Positive,3,No,Postgraduate,Male"
"1737,Low,Medium,Yes,8,Medium,Yes,Low,High,Private,Positive,4,No,High School,Female"
"1738,High,High,Yes,8,Medium,Yes,Medium,Low,Public,Negative,5,Yes,Postgraduate,Female"
"1739,Medium,High,Yes,10,Medium,Yes,Low,High,Private,Positive,1,No,High School,Female"
"1740,Low,Medium,No,7,Medium,Yes,Medium,Medium,Public,Neutral,3,No,High School,Male"
"1741,Medium,Low,No,6,High,Yes,Low,Medium,Public,Neutral,3,No,,Male"
"1742,Medium,High,Yes,6,Medium,No,Low,Medium,Public,Neutral,1,No,College,Female"
"1743,High,Medium,Yes,9,Low,Yes,Medium,Medium,Public,Positive,3,Yes,College,Male"
"1744,High,Low,Yes,5,Medium,Yes,Medium,Low,Private,Neutral,3,No,Postgraduate,Male"
"1745,Medium,Medium,Yes,6,Medium,Yes,High,,Public,Positive,2,No,College,Female"
"1746,Low,Medium,No,7,Medium,Yes,Medium,Low,Public,Negative,3,No,High School,Female"
"1747,High,Low,No,7,Medium,Yes,Low,Medium,Public,Negative,4,No,High School,Female"
"1748,Medium,Medium,No,8,Medium,Yes,Low,Medium,Public,Negative,0,No,High School,Male"
"1749,Medium,Low,No,5,Low,Yes,Medium,Medium,Public,Negative,4,No,College,Male"
"1750,Low,High,No,7,Medium,No,Low,Medium,Public,Neutral,3,No,Postgraduate,Female"
"1751,Low,High,Yes,7,High,Yes,Low,Low,Public,Positive,1,No,Postgraduate,Male"
"1752,Low,High,Yes,5,Medium,Yes,Medium,Medium,Public,Neutral,3,No,High School,Female"
"1753,Medium,Medium,Yes,8,Low,Yes,Medium,Medium,Public,Positive,4,Yes,,Male"
"1754,Medium,Medium,Yes,7,Medium,Yes,Low,Medium,Public,Neutral,3,No,High School,Female"
"1755,Low,High,No,7,High,No,Low,Medium,Public,Negative,3,No,Postgraduate,Female"
"1756,Medium,High,Yes,6,High,Yes,Medium,High,Private,Neutral,4,No,High School,Male"
"1757,High,Low,No,6,Medium,Yes,Low,Medium,Public,Negative,4,Yes,High School,Male"
"1758,Low,Medium,Yes,5,Medium,Yes,Medium,Medium,Public,Negative,5,Yes,Postgraduate,Female"
"1759,Medium,Medium,No,8,Medium,Yes,Medium,Low,Public,Neutral,4,No,High School,Female"
"1760,Medium,Medium,Yes,9,Medium,Yes,Low,Medium,Public,Neutral,2,No,High School,Male"
"1761,High,Medium,Yes,10,Medium,Yes,High,High,Public,Positive,4,No,College,Female"
"1762,Medium,High,No,8,Low,Yes,Low,High,Public,Positive,5,No,High School,Male"
"1763,High,Medium,No,6,High,Yes,Medium,High,Public,Negative,2,No,Postgraduate,Male"
"1764,Medium,Medium,No,6,High,Yes,Low,High,Public,Neutral,3,No,High School,Male"
"1765,Medium,High,No,8,Medium,Yes,Medium,Medium,Private,Negative,2,No,High School,Female"
"1766,Low,Medium,Yes,7,Low,Yes,Low,Medium,Public,Positive,4,No,High School,Male"
"1767,Medium,High,Yes,7,Medium,Yes,Medium,Low,Public,Neutral,2,No,Postgraduate,Male"
"1768,Medium,Low,No,7,Medium,Yes,Low,Low,Public,Positive,2,No,High School,Female"
"1769,Medium,High,Yes,9,Medium,Yes,Low,High,Public,Neutral,3,No,College,Male"
"1770,Medium,Low,No,6,Medium,Yes,Medium,Medium,Private,Neutral,3,No,High School,Male"
"1771,Medium,High,Yes,9,Low,Yes,Medium,Medium,Public,Positive,3,No,College,Male"
"1772,High,Low,Yes,7,High,Yes,Low,Medium,Public,Negative,3,No,High School,Female"
"1773,High,Medium,Yes,6,Medium,Yes,Low,Low,Public,Positive,4,Yes,College,Male"
"1774,Low,Medium,No,6,Low,Yes,Low,Medium,Public,Negative,4,No,Postgraduate,Female"
"1775,Medium,Medium,No,7,Medium,Yes,High,Medium,Public,Neutral,3,No,High School,Female"
"1776,Medium,Medium,No,8,Medium,Yes,High,High,Private,Positive,5,Yes,High School,Female"
"1777,Low,High,Yes,6,Low,Yes,Low,Medium,Public,Neutral,1,No,Postgraduate,Female"
"1778,Medium,Medium,Yes,8,High,Yes,Medium,Medium,Public,Negative,3,No,College,Male"
"1779,Medium,Medium,No,6,Medium,Yes,Medium,High,Public,Neutral,1,No,College,Male"
"1780,Medium,Low,Yes,7,High,Yes,Low,High,Private,Positive,3,No,Postgraduate,Female"
"1781,High,High,Yes,5,Low,Yes,Medium,High,Public,Positive,3,No,High School,Female"
"1782,Low,Medium,Yes,8,Medium,Yes,Medium,Low,Public,Positive,2,No,Postgraduate,Male"
"1783,Low,High,Yes,7,Medium,Yes,Medium,Medium,Public,Neutral,2,No,Postgraduate,Male"
"1784,Medium,Medium,Yes,9,High,Yes,Low,Medium,Public,Positive,1,No,High School,Male"
"1785,High,Low,No,8,Medium,Yes,Low,High,Public,Neutral,4,Yes,High School,Male"
"1786,High,Medium,No,7,Low,Yes,High,Medium,Private,Positive,1,No,Postgraduate,Male"
"1787,Low,High,Yes,9,High,Yes,High,Medium,Public,Neutral,5,No,High School,Male"
"1788,Medium,Medium,Yes,8,Low,Yes,Low,Medium,Public,Neutral,2,No,College,Male"
"1789,Medium,High,No,9,High,Yes,Medium,High,Public,Negative,3,No,College,Male"
"1790,Medium,Low,Yes,6,Low,Yes,Low,Medium,Private,Neutral,4,No,College,Male"
"1791,Medium,Medium,No,8,Medium,Yes,Medium,High,Public,Positive,3,No,College,Female"
"1792,High,High,Yes,8,Medium,Yes,Low,,Public,Neutral,3,Yes,High School,Female"
"1793,Medium,Low,Yes,5,Medium,Yes,Medium,Medium,Private,Positive,4,No,College,Female"
"1794,Medium,Low,No,9,High,Yes,Medium,High,Public,Positive,2,No,College,Male"
"1795,High,High,No,5,Medium,Yes,Low,Medium,Private,Negative,3,No,High School,Male"
"1796,High,Medium,Yes,5,Medium,Yes,Medium,High,Private,Neutral,3,No,High School,Female"
"1797,Medium,Medium,Yes,4,Medium,Yes,High,Low,Public,Positive,3,No,College,Female"
"1798,Medium,Medium,Yes,8,Low,Yes,Low,,Private,Negative,1,No,Postgraduate,Male"
"1799,Medium,High,Yes,5,Medium,Yes,Medium,Medium,Public,Positive,2,No,College,Male"
"1800,Medium,High,Yes,6,Medium,Yes,Low,High,Public,Neutral,5,No,High School,Male"
"1801,High,Medium,No,8,Medium,Yes,Low,High,Public,Positive,3,No,High School,Male"
"1802,High,Medium,Yes,7,High,Yes,Medium,Medium,Public,Neutral,3,No,High School,Male"
"1803,High,Medium,Yes,6,Low,Yes,High,Medium,Public,Positive,4,Yes,High School,Female"
"1804,Medium,High,No,5,High,Yes,Low,Medium,Public,Neutral,4,No,High School,Male"
"1805,High,Medium,Yes,7,High,Yes,High,High,Public,Positive,2,No,High School,Female"
"1806,Low,High,No,8,High,Yes,Low,Medium,Public,Neutral,3,No,Postgraduate,Female"
"1807,Low,Medium,No,8,Low,Yes,High,Medium,Private,Positive,3,No,High School,Female"
"1808,Medium,Low,Yes,10,High,Yes,Low,High,Private,Negative,3,No,High School,Female"
"1809,Medium,Medium,No,6,Low,Yes,Low,High,Public,Negative,2,No,College,Female"
"1810,High,Low,Yes,5,Medium,Yes,High,High,Public,Positive,4,No,College,Male"
"1811,Medium,High,No,7,High,Yes,Low,Medium,Public,Negative,3,No,Postgraduate,Female"
"1812,Medium,High,No,7,Medium,Yes,Low,Medium,Public,Negative,3,Yes,High School,Female"
"1813,Medium,Low,No,7,Medium,Yes,High,Medium,Public,Neutral,4,No,High School,Male"
"1814,High,Medium,Yes,6,Medium,Yes,High,Medium,Public,Positive,2,No,High School,Female"
"1815,Medium,High,Yes,4,Medium,Yes,Medium,Medium,Public,Negative,4,No,College,Female"
"1816,Medium,Medium,Yes,5,Medium,Yes,High,Medium,Public,Negative,5,No,College,Female"
"1817,High,Medium,No,8,High,Yes,Low,Low,Public,Neutral,4,No,Postgraduate,Male"
"1818,Medium,Medium,No,7,Low,Yes,Medium,Medium,Public,Neutral,5,Yes,High School,Male"
"1819,Low,High,Yes,8,Low,Yes,Medium,Medium,Private,Negative,3,No,High School,Male"
"1820,Medium,Medium,Yes,8,Low,Yes,High,Medium,Private,Negative,4,No,Postgraduate,Male"
"1821,Low,High,No,8,Low,Yes,High,Medium,Private,Negative,2,No,High School,Male"
"1822,High,High,Yes,8,Low,Yes,Low,Low,Private,Negative,4,No,High School,Male"
"1823,Medium,High,Yes,7,Low,Yes,Low,Low,Public,Neutral,4,No,College,Female"
"1824,High,High,Yes,7,Medium,Yes,Medium,Medium,Public,Negative,2,No,High School,Male"
"1825,Medium,High,Yes,4,Low,Yes,High,Medium,Private,Positive,2,No,High School,Male"
"1826,High,Low,No,6,Medium,Yes,Low,Medium,Private,Positive,3,No,High School,Male"
"1827,Low,Medium,No,6,Low,Yes,Low,High,Public,Positive,5,No,Postgraduate,Male"
"1828,Low,Low,Yes,7,High,Yes,Low,High,Private,Neutral,3,No,College,Male"
"1829,Low,Low,No,6,Medium,Yes,Medium,High,Public,Neutral,2,No,High School,Male"
"1830,Medium,Low,Yes,8,Low,Yes,Low,Medium,Public,Positive,2,No,High School,Male"
"1831,Low,Medium,No,6,High,Yes,Low,Low,Public,Neutral,2,Yes,Postgraduate,Male"
"1832,Medium,Low,Yes,9,Medium,Yes,Medium,Low,Public,Neutral,3,No,Postgraduate,Male"
"1833,Medium,Medium,No,6,High,Yes,Medium,Medium,Public,Positive,3,No,High School,Male"
"1834,Medium,High,Yes,6,Medium,Yes,Medium,High,Public,Positive,2,No,High School,Female"
"1835,Medium,High,Yes,6,Medium,Yes,Medium,Medium,Private,Positive,3,No,High School,Male"
"1836,Low,High,No,6,Medium,Yes,Medium,High,Public,Neutral,3,No,High School,Male"
"1837,High,Medium,Yes,9,Medium,Yes,Low,Medium,Private,Negative,3,Yes,High School,Female"
"1838,Medium,Medium,No,7,Medium,Yes,Low,Medium,Private,Neutral,4,No,High School,Female"
"1839,High,Medium,Yes,7,Medium,Yes,Medium,Medium,Public,Neutral,3,No,College,Male"
"1840,Medium,Medium,Yes,6,Medium,Yes,Medium,Low,Public,Positive,4,No,Postgraduate,Female"
"1841,High,Medium,No,7,Medium,Yes,Low,Medium,Private,Negative,5,No,Postgraduate,Female"
"1842,Medium,Low,Yes,7,Medium,No,Low,Medium,Private,Negative,3,No,Postgraduate,Male"
"1843,High,Medium,Yes,7,Medium,Yes,Low,High,Public,Neutral,3,No,College,Female"
"1844,Low,High,Yes,7,Medium,Yes,High,Medium,Public,Negative,3,No,High School,Female"
"1845,High,High,Yes,9,Medium,Yes,High,Medium,Public,Neutral,5,No,High School,Female"
"1846,High,Medium,Yes,7,Low,Yes,Low,Medium,Private,Neutral,2,Yes,High School,Female"
"1847,Low,Medium,Yes,5,Medium,No,Medium,Medium,Public,Neutral,2,No,High School,Female"
"1848,Medium,Medium,No,7,High,Yes,Low,Medium,Public,Positive,4,No,High School,Female"
"1849,High,Low,No,6,Medium,Yes,High,Medium,Private,Negative,4,No,High School,Female"
"1850,Medium,High,No,8,Medium,Yes,High,Medium,Public,Positive,2,No,High School,Female"
"1851,Low,High,No,7,Medium,Yes,Low,Medium,Public,Negative,2,No,Postgraduate,Female"
"1852,Medium,Low,Yes,9,Medium,Yes,Medium,Medium,Private,Negative,2,No,College,Male"
"1853,Low,Low,Yes,6,High,Yes,Medium,Medium,Public,Positive,4,No,College,Male"
"1854,High,Medium,Yes,7,Low,Yes,Medium,High,Private,Neutral,5,No,High School,Female"
"1855,Low,Medium,Yes,5,Low,Yes,Medium,Medium,Public,Neutral,5,No,Postgraduate,Male"
"1856,Low,High,Yes,7,High,Yes,Low,Medium,Public,Neutral,3,Yes,High School,Female"
"1857,Medium,High,No,5,Medium,Yes,High,Medium,Private,Positive,1,No,Postgraduate,Female"
"1858,Medium,Medium,No,7,Medium,Yes,Low,Medium,Private,Neutral,2,No,High School,Female"
"1859,High,Low,No,7,Medium,Yes,Low,Low,Public,Neutral,3,No,Postgraduate,Female"
"1860,Low,High,Yes,7,Medium,Yes,High,Medium,Public,Positive,3,No,College,Female"
"1861,Low,Medium,Yes,8,Medium,Yes,Medium,Medium,Private,Neutral,4,No,High School,Male"
"1862,Medium,Medium,No,7,Medium,Yes,High,Medium,Public,Negative,4,No,College,Female"
"1863,High,Medium,No,5,Medium,Yes,Low,High,Private,Positive,4,No,High School,Male"
"1864,Medium,Low,No,6,Medium,Yes,High,High,Public,Negative,2,No,Postgraduate,Male"
"1865,Medium,Medium,Yes,7,High,Yes,Medium,Medium,Public,Neutral,2,No,High School,Male"
"1866,Medium,Medium,No,7,Low,No,Medium,Low,Public,Positive,3,No,High School,Male"
"1867,Medium,Medium,No,7,Low,Yes,High,High,Public,Neutral,3,No,High School,Male"
"1868,Medium,Low,Yes,9,Medium,Yes,High,Medium,Public,Neutral,2,Yes,High School,Male"
"1869,Medium,Medium,Yes,7,Medium,Yes,Low,Low,Public,Positive,2,Yes,Postgraduate,Female"
"1870,High,High,No,8,Medium,Yes,High,Medium,Public,Positive,4,No,High School,Female"
"1871,High,Medium,Yes,4,Low,Yes,Low,Low,Public,Neutral,3,Yes,College,Male"
"1872,High,High,No,8,Low,Yes,Low,Medium,Private,Neutral,4,No,High School,Male"
"1873,Medium,Low,Yes,10,High,Yes,Medium,Medium,Public,Positive,3,No,High School,Female"
"1874,Medium,Medium,Yes,9,Medium,Yes,Medium,High,Private,Neutral,2,No,Postgraduate,Female"
"1875,Low,High,Yes,6,Medium,Yes,Low,Medium,Public,Positive,2,Yes,High School,Female"
"1876,High,Medium,Yes,10,Medium,Yes,Low,High,Public,Positive,2,Yes,Postgraduate,Male"
"1877,Medium,Medium,Yes,7,Low,Yes,High,High,Public,Positive,3,No,College,Female"
"1878,High,Low,No,7,Medium,Yes,High,High,Public,Neutral,2,No,Postgraduate,Male"
"1879,Medium,Low,No,7,Medium,Yes,Medium,Medium,Public,Negative,4,No,College,Female"
"1880,High,High,No,7,Medium,No,High,Medium,Public,Negative,1,No,High School,Male"
"1881,Medium,Low,Yes,4,Medium,Yes,High,Medium,Public,Negative,1,No,College,Male"
"1882,Medium,Low,Yes,8,Medium,Yes,Low,Low,Public,Positive,3,No,College,Male"
"1883,Medium,Medium,Yes,7,Medium,Yes,Low,Medium,Public,Neutral,2,No,High School,Male"
"1884,High,Medium,Yes,7,High,Yes,High,High,Public,Neutral,3,No,College,Male"
"1885,High,High,Yes,7,Low,Yes,Medium,High,Private,Neutral,4,No,High School,Female"
"1886,High,Medium,No,6,Medium,No,High,,Public,Positive,2,No,College,Female"
"1887,Low,Medium,Yes,7,High,Yes,Medium,Medium,Public,Negative,4,No,College,Female"
"1888,High,Low,Yes,9,Low,Yes,Medium,Medium,Private,Positive,3,Yes,Postgraduate,Male"
"1889,Medium,Medium,Yes,8,Low,Yes,High,Medium,Public,Neutral,2,No,College,Male"
"1890,Medium,Low,Yes,7,Medium,No,Medium,High,Private,Positive,3,No,College,Female"
"1891,Low,Medium,No,7,Low,No,Low,Medium,Private,Positive,4,No,College,Male"
"1892,Low,Medium,No,7,High,Yes,Medium,Medium,Private,Neutral,4,No,High School,Male"
"1893,Low,High,Yes,6,Low,Yes,Medium,Low,Public,Negative,2,No,High School,Male"
"1894,High,High,No,7,Medium,Yes,Low,High,Public,Negative,3,No,High School,Female"
"1895,Medium,Medium,Yes,8,High,Yes,Medium,Medium,Public,Negative,3,Yes,High School,Male"
"1896,Low,Low,Yes,7,Low,Yes,Medium,Low,Private,Neutral,4,No,College,Male"
"1897,Medium,Medium,Yes,6,High,Yes,Medium,High,Private,Positive,2,No,Postgraduate,Female"
"1898,Medium,Medium,No,7,Low,Yes,Medium,Medium,Private,Positive,3,No,Postgraduate,Female"
"1899,Low,High,Yes,8,High,Yes,Medium,Medium,Public,Positive,1,Yes,College,Female"
"1900,Low,High,Yes,5,Medium,Yes,Medium,Medium,Public,Neutral,4,No,High School,Male"
"1901,Low,Medium,Yes,6,Low,Yes,Medium,Medium,Public,Positive,3,No,Postgraduate,Male"
"1902,Medium,Medium,Yes,5,Medium,Yes,Medium,Medium,Public,Neutral,2,No,Postgraduate,Female"
"1903,Low,Medium,No,7,Medium,Yes,High,Medium,Public,Neutral,4,No,College,Female"
"1904,Medium,Medium,No,8,Low,Yes,Medium,High,Public,Negative,2,No,College,Male"
"1905,Low,Medium,No,9,Medium,Yes,Low,Medium,Private,Neutral,4,No,High School,Male"
"1906,Low,Medium,No,9,Medium,Yes,Low,Medium,Public,Negative,4,No,College,Male"
"1907,Medium,Medium,No,6,High,Yes,Low,Low,Public,Positive,3,No,High School,Male"
"1908,Low,Low,Yes,7,High,Yes,Medium,Medium,Public,Positive,3,No,Postgraduate,Female"
"1909,Low,Medium,Yes,6,Medium,No,High,High,Private,Neutral,3,Yes,Postgraduate,Female"
"1910,Medium,Medium,Yes,9,Low,Yes,High,High,Private,Neutral,3,Yes,High School,Male"
"1911,Medium,High,Yes,9,Medium,No,Medium,Medium,Private,Neutral,3,No,High School,Male"
"1912,High,High,Yes,7,Low,Yes,Medium,Medium,Public,Negative,2,Yes,High School,Female"
"1913,Low,High,No,6,Low,Yes,Medium,High,Public,Neutral,2,No,Postgraduate,Male"
"1914,High,Low,Yes,4,Medium,Yes,Medium,Medium,Public,Positive,4,No,High School,Female"
"1915,High,Medium,No,5,Medium,Yes,High,High,Private,Neutral,4,No,Postgraduate,Female"
"1916,High,Medium,Yes,4,High,Yes,Low,Medium,Public,Positive,3,No,College,Female"
"1917,Medium,High,Yes,5,High,Yes,Medium,High,Private,Neutral,2,No,High School,Male"
"1918,High,Medium,Yes,10,Medium,Yes,Low,High,Public,Negative,1,Yes,High School,Male"
"1919,Low,Low,Yes,5,High,Yes,Low,Medium,Public,Positive,2,No,High School,Male"
"1920,Low,Medium,Yes,5,Medium,Yes,High,High,Public,Negative,3,No,College,Male"
"1921,Low,High,Yes,6,High,Yes,Medium,High,Public,Positive,4,Yes,Postgraduate,Male"
"1922,High,High,Yes,10,Low,Yes,Medium,Medium,Private,Positive,2,Yes,College,Female"
"1923,Medium,Medium,Yes,7,Low,Yes,High,Medium,Public,Neutral,3,No,High School,Female"
"1924,High,High,No,8,Medium,Yes,High,Medium,Private,Negative,2,No,College,Female"
"1925,Medium,Low,Yes,7,Low,Yes,Low,High,Private,Positive,4,No,Postgraduate,Male"
"1926,High,Medium,No,4,Low,Yes,Medium,High,Public,Positive,4,No,Postgraduate,Female"
"1927,High,High,Yes,9,Low,Yes,Medium,Medium,Private,Neutral,3,No,College,Female"
"1928,High,Medium,Yes,8,Medium,Yes,Medium,Medium,Public,Neutral,4,No,High School,Male"
"1929,Medium,Low,No,7,High,Yes,Low,Medium,Public,Neutral,4,No,Postgraduate,Female"
"1930,High,High,No,10,Medium,Yes,Medium,High,Private,Positive,2,No,Postgraduate,Male"
"1931,High,Medium,No,6,High,Yes,Low,High,Public,Neutral,4,No,Postgraduate,Male"
"1932,Medium,High,Yes,7,High,Yes,Low,Medium,Private,Positive,3,No,Postgraduate,Male"
"1933,Medium,Low,Yes,6,Low,Yes,Medium,Medium,Private,Neutral,2,No,College,Female"
"1934,High,Medium,No,9,Medium,Yes,Low,Medium,Public,Negative,2,No,College,Female"
"1935,Medium,Medium,Yes,8,High,Yes,Medium,Medium,Public,Negative,3,No,High School,Male"
"1936,High,High,No,7,High,Yes,Low,High,Public,Negative,5,No,College,Male"
"1937,Low,Medium,Yes,5,Medium,No,High,Medium,Public,Positive,2,No,High School,Male"
"1938,Medium,Medium,Yes,6,Medium,Yes,High,Medium,Public,Neutral,3,No,Postgraduate,Male"
"1939,Low,Low,Yes,5,High,Yes,High,Medium,Public,Negative,3,No,High School,Male"
"1940,Medium,High,No,9,Medium,Yes,Low,Medium,Public,Neutral,2,No,College,Male"
"1941,Medium,Medium,Yes,5,Low,Yes,Low,Medium,Public,Neutral,2,No,High School,Male"
"1942,High,Low,No,9,Medium,Yes,Medium,Low,Private,Neutral,4,No,High School,Female"
"1943,Low,Medium,Yes,9,Medium,Yes,High,High,Private,Neutral,2,No,High School,Male"
"1944,High,Medium,No,6,Low,Yes,Medium,High,Public,Neutral,4,No,High School,Female"
"1945,High,Low,Yes,6,Medium,Yes,Low,Medium,Public,Neutral,1,No,College,Male"
"1946,Medium,Low,No,6,Medium,Yes,Low,Medium,Private,Neutral,4,No,High School,Male"
"1947,Medium,High,Yes,8,Low,Yes,Low,High,Public,Negative,2,No,,Male"
"1948,Medium,Low,No,9,Medium,Yes,Medium,Medium,Public,Neutral,3,No,High School,Male"
"1949,Medium,Low,Yes,9,High,No,Low,Medium,Public,Neutral,3,No,High School,Male"
"1950,Low,Medium,Yes,6,Medium,Yes,Medium,Medium,Public,Negative,4,No,College,Female"
"1951,Medium,High,Yes,9,Medium,Yes,High,Medium,Public,Neutral,3,No,High School,Female"
"1952,High,Low,No,9,Medium,Yes,Low,Medium,Public,Neutral,4,No,High School,Male"
"1953,Low,High,Yes,7,Low,Yes,High,High,Public,Negative,3,No,College,Male"
"1954,Medium,High,Yes,7,Medium,Yes,Medium,Medium,Public,Positive,3,No,College,Female"
"1955,High,Medium,Yes,9,Medium,Yes,Medium,High,Private,Neutral,5,No,College,Male"
"1956,High,Medium,Yes,9,Low,Yes,High,Medium,Public,Positive,3,No,Postgraduate,Female"
"1957,High,Medium,No,9,Low,No,Medium,Medium,Public,Neutral,3,No,High School,Female"
"1958,High,High,Yes,10,Medium,Yes,Low,Medium,Public,Positive,3,No,High School,Female"
"1959,Medium,High,Yes,8,Medium,Yes,High,High,Public,Neutral,1,No,Postgraduate,Male"
"1960,High,High,Yes,7,High,Yes,Low,Low,Public,Negative,2,No,College,Male"
"1961,High,Medium,Yes,9,Low,Yes,High,Medium,Public,Neutral,2,No,High School,Male"
"1962,Medium,Medium,Yes,10,Medium,Yes,Low,High,Public,Neutral,2,No,High School,Female"
"1963,Medium,Low,Yes,6,High,Yes,Low,Medium,Public,Positive,2,Yes,College,Female"
"1964,Medium,Medium,Yes,7,Medium,No,High,Medium,Public,Negative,4,No,Postgraduate,Female"
"1965,Medium,Medium,Yes,5,Medium,Yes,High,High,Public,Negative,5,No,College,Female"
"1966,Medium,Low,No,8,Medium,Yes,Low,Medium,Public,Negative,3,No,High School,Female"
"1967,Medium,Low,Yes,8,Low,Yes,Medium,Medium,Public,Neutral,2,Yes,Postgraduate,Female"
"1968,Medium,Low,No,6,High,Yes,Low,Medium,Public,Neutral,3,No,High School,Female"
"1969,Medium,Medium,Yes,9,Low,Yes,Low,Medium,Public,Positive,4,No,Postgraduate,Female"
"1970,Low,High,No,6,Low,Yes,Low,Medium,Public,Negative,2,No,College,Male"
"1971,High,Medium,Yes,6,Medium,Yes,Low,Medium,Public,Neutral,3,No,High School,Male"
"1972,Low,High,Yes,9,Medium,Yes,Medium,,Public,Neutral,2,No,High School,Female"
"1973,Low,Low,No,6,Low,No,Low,Low,Public,Positive,4,No,College,Male"
"1974,Medium,Low,No,5,Low,Yes,Medium,Medium,Private,Neutral,4,No,High School,Male"
"1975,Medium,Medium,Yes,8,Low,Yes,Medium,Medium,Public,Neutral,4,No,Postgraduate,Female"
"1976,Low,Medium,Yes,7,Low,Yes,Medium,Medium,Public,Positive,2,Yes,High School,Female"
"1977,Medium,Medium,Yes,9,Low,Yes,Low,Medium,Public,Positive,2,No,Postgraduate,Female"
"1978,High,High,No,8,Medium,Yes,Low,Medium,Public,Neutral,4,No,High School,Male"
