"Id,Hours_Studied,Attendance,Previous_Scores,Sleep_Hours,Tutoring_Sessions,Physical_Activity,Exam_Score,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Motivation_Level,Internet_Access,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Learning_Disabilities,Parental_Education_Level,Gender"
"1286,12,83,79,6,1,4,65,Medium,Medium,No,Medium,Yes,High,Low,Public,Neutral,No,High School,Female"
"1287,9,98,92,6,0,5,67,Medium,Medium,No,Medium,Yes,Medium,Medium,Public,Neutral,No,High School,Male"
"1288,23,63,69,8,2,4,63,Medium,Medium,No,High,Yes,Medium,Low,Public,Negative,Yes,High School,Male"
"1289,13,80,66,4,2,2,64,Low,High,Yes,High,Yes,Low,Medium,Public,Negative,No,High School,Female"
"1290,7,73,75,6,3,3,64,High,Medium,Yes,Medium,Yes,Low,Medium,Public,Neutral,No,College,Female"
"1291,22,80,79,9,0,3,66,Low,Low,No,High,Yes,Medium,Medium,Private,Neutral,No,College,Female"
"1292,35,61,61,7,2,4,68,Medium,High,Yes,Low,Yes,Medium,Medium,Private,Positive,Yes,High School,Male"
"1293,20,73,84,6,0,3,67,High,Medium,Yes,High,Yes,Medium,Medium,Public,Positive,No,High School,Male"
"1294,25,93,90,5,1,2,72,Medium,High,No,Low,Yes,Medium,Medium,Public,Positive,No,College,Male"
"1295,20,82,79,8,1,4,67,Medium,Medium,Yes,Low,Yes,Low,Medium,Public,Positive,No,High School,Male"
"1296,19,78,76,7,2,3,66,Medium,Medium,No,High,Yes,Medium,Low,Public,Neutral,No,College,Female"
"1297,26,71,65,7,1,3,66,High,Low,No,Medium,Yes,Low,Medium,Public,Positive,No,College,Female"
"1298,18,72,95,8,1,4,67,High,High,Yes,Medium,Yes,Medium,Medium,Public,Negative,No,High School,Male"
"1299,22,75,88,7,0,3,65,Medium,Medium,No,Low,Yes,Low,Medium,Private,Neutral,No,Postgraduate,Male"
"1300,22,93,74,7,2,3,70,High,Medium,No,Low,Yes,Medium,High,Public,Negative,No,College,Male"
"1301,16,99,83,5,0,4,69,Low,Medium,Yes,Low,Yes,Low,High,Private,Neutral,No,Postgraduate,Female"
"1302,26,78,67,5,1,3,69,High,High,Yes,Low,Yes,High,High,Private,Negative,No,High School,Male"
"1303,19,76,53,8,1,4,66,High,Medium,Yes,Medium,Yes,Medium,Medium,Public,Negative,No,College,Female"
"1304,15,94,60,8,2,4,66,Medium,Low,No,Medium,Yes,Medium,Medium,Public,Neutral,No,High School,Male"
"1305,23,77,54,8,1,3,67,High,High,Yes,Medium,Yes,Low,Medium,Public,Negative,No,College,Female"
"1306,15,82,75,6,1,3,67,Medium,High,Yes,Medium,Yes,Medium,Low,Public,Positive,No,High School,Male"
"1307,20,69,81,8,2,4,67,Medium,Medium,Yes,High,Yes,Medium,Medium,Public,Positive,No,High School,Male"
"1308,20,90,69,6,2,3,72,High,High,Yes,Medium,Yes,High,High,Public,Neutral,No,High School,Female"
"1309,27,81,77,9,1,4,68,Medium,Low,Yes,Low,Yes,Medium,High,Public,Neutral,No,College,Female"
"1310,23,92,54,6,3,2,70,Medium,Low,Yes,High,Yes,Medium,Medium,Public,Positive,Yes,Postgraduate,Male"
"1311,20,91,88,6,1,4,69,Medium,Medium,Yes,Medium,Yes,Low,Medium,Public,Positive,No,High School,Male"
"1312,25,69,52,7,1,4,65,High,Low,Yes,High,Yes,Low,Medium,Public,Positive,No,High School,Male"
"1313,28,89,82,8,0,3,72,High,High,No,Medium,Yes,Medium,Medium,Public,Negative,No,Postgraduate,Male"
"1314,23,92,72,7,0,4,69,Medium,High,No,Medium,Yes,Low,Medium,Public,Neutral,No,College,Female"
"1315,20,74,59,7,5,4,68,Medium,Medium,Yes,Low,Yes,High,Medium,Public,Positive,No,High School,Female"
"1316,12,67,76,6,1,2,62,High,High,No,High,Yes,Low,Medium,Public,Negative,No,High School,Male"
"1317,14,60,89,7,2,3,60,Medium,Low,Yes,Low,Yes,Medium,Medium,Public,Neutral,No,High School,Male"
"1318,18,78,71,7,3,4,67,High,Medium,Yes,Low,Yes,Medium,Medium,Public,Neutral,No,High School,Male"
"1319,16,74,68,6,2,4,67,High,High,Yes,Low,Yes,Medium,Medium,Public,Neutral,No,College,Male"
"1320,19,82,57,7,1,3,67,Medium,High,Yes,Medium,Yes,Medium,Medium,Public,Neutral,No,High School,Male"
"1321,20,68,80,7,0,4,63,Medium,Medium,Yes,Low,Yes,Low,Medium,Private,Neutral,No,High School,Female"
"1322,23,94,91,10,1,3,71,Medium,Low,Yes,High,Yes,Medium,Medium,Public,Neutral,No,High School,Male"
"1323,20,70,78,6,0,2,66,Medium,Medium,Yes,High,Yes,Medium,Medium,Private,Positive,No,College,Female"
"1324,23,69,58,6,0,1,65,Medium,Medium,Yes,High,Yes,Medium,Medium,Public,Neutral,No,Postgraduate,Female"
"1325,20,79,83,7,2,2,69,High,Medium,Yes,High,Yes,Medium,Medium,Public,Positive,No,High School,Female"
"1326,8,80,52,6,2,1,63,High,Low,No,High,Yes,Medium,Medium,Public,Positive,No,High School,Female"
"1327,14,69,92,5,3,2,64,Medium,Medium,Yes,High,Yes,Low,Low,Public,Negative,No,Postgraduate,Female"
"1328,19,71,96,5,2,0,67,High,High,No,High,Yes,Low,Medium,Private,Neutral,Yes,College,Female"
"1329,13,67,80,6,1,2,62,Medium,Medium,Yes,High,Yes,Low,High,Public,Negative,No,High School,Male"
"1330,24,89,94,6,2,2,68,Medium,Low,Yes,Low,Yes,Medium,Medium,Public,Neutral,No,High School,Male"
"1331,29,91,54,5,2,3,71,Medium,High,No,Low,Yes,Low,,Public,Neutral,No,Postgraduate,Male"
"1332,27,78,61,7,1,3,66,High,Medium,No,Medium,No,Low,Medium,Public,Negative,No,High School,Female"
"1333,19,89,66,4,1,1,69,Medium,High,Yes,Low,Yes,Low,Medium,Public,Positive,No,Postgraduate,Female"
"1334,29,89,89,8,1,4,71,Medium,Low,Yes,Low,Yes,Medium,High,Private,Neutral,No,High School,Male"
"1335,21,66,74,6,2,4,66,Medium,Medium,Yes,Medium,Yes,Medium,High,Private,Neutral,No,High School,Female"
"1336,18,99,67,6,5,3,72,Medium,Medium,No,Medium,Yes,Low,Medium,Public,Positive,No,Postgraduate,Female"
"1337,16,93,58,8,1,4,70,Medium,Medium,Yes,Medium,Yes,High,High,Public,Positive,No,College,Female"
"1338,18,68,91,8,1,3,65,Low,Medium,No,High,Yes,Low,High,Private,Neutral,No,Postgraduate,Female"
"1339,18,67,51,6,0,2,64,High,Medium,No,Medium,Yes,Medium,High,Public,Positive,No,College,Female"
"1340,21,65,67,8,1,2,63,Medium,Medium,Yes,Medium,Yes,Low,Medium,Public,Positive,No,College,Male"
"1341,21,66,62,9,3,2,32,Medium,Medium,No,Low,No,Medium,Medium,Private,Positive,No,High School,Male"
"1342,20,90,56,5,3,2,66,Low,Medium,No,Medium,No,Medium,Medium,Public,Positive,No,High School,Male"
"1343,23,79,59,8,1,4,68,High,High,Yes,Low,Yes,Low,High,Public,Negative,No,College,Male"
"1344,27,91,75,5,1,4,74,Medium,High,Yes,Low,Yes,High,High,Public,Neutral,No,College,Male"
"1345,26,90,71,9,0,2,71,High,High,No,Low,Yes,High,Low,Private,Negative,No,College,Female"
"1346,11,84,76,6,3,3,67,High,Medium,Yes,High,Yes,Low,High,Public,Negative,No,High School,Female"
"1347,5,87,86,6,2,3,66,High,Low,No,Medium,Yes,Medium,High,Public,Positive,No,Postgraduate,Female"
"1348,26,61,95,9,0,6,67,High,Medium,Yes,Medium,Yes,Medium,Medium,Private,Negative,No,College,Male"
"1349,12,72,56,8,3,1,62,Low,High,Yes,High,Yes,Low,Medium,Public,Positive,Yes,High School,Male"
"1350,19,86,54,6,1,5,68,Medium,Low,No,Low,Yes,High,High,Private,Positive,No,Postgraduate,Male"
"1351,13,60,66,7,2,3,62,Medium,Medium,Yes,Medium,Yes,Low,Medium,Public,Positive,No,Postgraduate,Male"
"1352,9,61,77,6,1,2,82,High,Medium,Yes,Low,No,High,Medium,Private,Neutral,No,High School,Male"
"1353,23,94,55,5,2,2,70,High,Medium,No,High,Yes,Medium,Medium,Public,Positive,Yes,High School,Male"
"1354,25,87,86,7,4,2,72,High,Medium,No,Medium,Yes,Medium,Low,Private,Negative,No,College,Male"
"1355,17,71,78,6,0,4,64,Low,High,Yes,Low,Yes,Medium,Medium,Public,Positive,No,College,Female"
"1356,4,88,87,6,1,4,66,Medium,High,No,Low,Yes,Medium,High,Public,Neutral,No,College,Male"
"1357,17,92,68,9,0,3,68,Medium,Medium,Yes,High,Yes,Medium,Low,Private,Positive,No,College,Female"
"1358,22,72,70,6,1,3,64,Low,Medium,No,Low,Yes,High,Medium,Public,Neutral,No,Postgraduate,Male"
"1359,11,61,90,7,0,3,61,Low,Medium,Yes,High,Yes,Medium,High,Public,Neutral,No,High School,Female"
"1360,21,97,63,9,0,1,69,Medium,Medium,Yes,Medium,Yes,Medium,Medium,Public,Positive,No,High School,Male"
"1361,20,74,69,7,2,2,68,High,High,No,Low,Yes,High,High,Private,Neutral,No,College,Male"
"1362,23,64,51,6,1,5,64,Medium,Medium,No,Medium,Yes,Medium,Medium,Public,Positive,No,College,Male"
"1363,21,80,78,7,1,4,67,Medium,High,No,Medium,Yes,Low,High,Private,Negative,No,High School,Female"
"1364,14,91,93,8,0,3,67,Medium,Medium,Yes,Medium,Yes,Medium,Medium,Public,Neutral,No,High School,Male"
"1365,27,69,51,8,1,2,65,Medium,Medium,No,Medium,Yes,High,Medium,Public,Negative,No,High School,Male"
"1366,19,71,81,10,2,3,68,High,Medium,Yes,Medium,Yes,Medium,High,Public,Positive,No,High School,Female"
"1367,20,70,92,6,2,3,67,Medium,High,Yes,Medium,Yes,Medium,Low,Public,Positive,No,High School,Male"
"1368,14,100,75,7,1,3,67,Low,Medium,No,Low,Yes,Low,,Public,Positive,No,Postgraduate,Male"
"1369,17,68,66,5,1,4,64,Medium,High,Yes,Medium,Yes,High,Medium,Public,Negative,No,High School,Male"
"1370,15,83,100,8,0,3,70,High,High,Yes,Medium,Yes,Medium,Medium,Public,Positive,No,College,Female"
"1371,19,97,53,7,2,3,69,Medium,High,No,Medium,Yes,Low,Low,Private,Neutral,No,College,Male"
"1372,30,66,61,7,0,2,66,Medium,High,No,Low,Yes,High,High,Private,Positive,No,High School,Male"
"1373,12,99,94,6,2,3,69,Low,Medium,No,Medium,Yes,Medium,Medium,Public,Neutral,No,Postgraduate,Male"
"1374,10,98,65,6,1,2,66,Low,Medium,Yes,Medium,Yes,Low,High,Private,Positive,No,High School,Male"
"1375,29,95,91,7,1,3,73,High,Medium,Yes,Low,Yes,Low,Medium,Public,Neutral,No,High School,Female"
"1376,19,69,67,6,4,4,66,Medium,Medium,Yes,Medium,No,High,High,Private,Positive,No,Postgraduate,Male"
"1377,16,85,91,7,0,2,69,Medium,High,Yes,High,Yes,Medium,Medium,Public,Neutral,No,Postgraduate,Male"
"1378,26,90,84,7,1,3,70,Medium,Low,Yes,Low,Yes,Medium,Medium,Public,Positive,No,High School,Male"
"1379,16,99,73,5,1,5,71,High,Medium,Yes,High,Yes,Medium,Medium,Private,Positive,Yes,College,Male"
"1380,31,67,76,5,2,4,70,Low,High,Yes,Medium,Yes,Medium,High,Public,Positive,No,College,Male"
"1381,24,91,59,6,0,4,69,High,Low,Yes,Medium,Yes,Low,Medium,Private,Neutral,No,High School,Male"
"1382,17,74,56,9,1,3,63,Medium,Medium,No,Medium,Yes,Medium,High,Private,Negative,No,High School,Male"
"1383,33,67,86,6,4,3,71,High,Medium,Yes,Medium,Yes,Medium,High,Public,Positive,Yes,High School,Female"
"1384,16,77,92,7,2,2,67,High,High,No,Low,Yes,Medium,Medium,Public,Negative,No,College,Male"
"1385,24,92,86,5,3,2,73,Medium,Medium,Yes,High,Yes,Medium,High,Public,Neutral,No,High School,Female"
"1386,22,79,96,6,1,2,68,Low,High,Yes,Medium,Yes,High,Medium,Public,Neutral,No,College,Male"
"1387,28,82,95,5,0,3,69,Low,Medium,Yes,Medium,Yes,High,Low,Public,Neutral,No,High School,Male"
"1388,29,100,89,8,2,3,76,High,High,Yes,Medium,Yes,Medium,Medium,Private,Neutral,No,High School,Female"
"1389,20,76,95,5,4,3,68,Low,Medium,Yes,Medium,Yes,Low,High,Public,Positive,No,High School,Male"
"1390,15,85,58,8,1,3,65,Medium,Medium,No,High,Yes,Low,Medium,Private,Negative,No,College,Male"
"1391,23,75,87,8,0,1,66,Medium,Medium,Yes,Low,Yes,High,Low,Public,Positive,No,High School,Female"
"1392,16,76,88,7,0,2,65,Medium,Low,No,High,Yes,Low,Medium,Public,Positive,No,Postgraduate,Male"
"1393,32,88,58,8,3,3,69,Low,Medium,No,Low,Yes,Low,High,Private,Negative,No,High School,Male"
"1394,21,98,95,10,0,1,71,High,Medium,Yes,Medium,Yes,Medium,Medium,Public,Neutral,No,High School,Male"
"1395,18,82,50,8,1,3,66,High,Low,Yes,Medium,Yes,High,Medium,Public,Positive,No,High School,Male"
"1396,21,91,72,5,3,3,69,Medium,High,No,Medium,Yes,Low,Medium,Public,Negative,Yes,High School,Female"
"1397,12,64,51,9,2,4,59,Medium,Medium,No,Low,No,Low,Medium,Public,Neutral,No,College,Male"
"1398,14,68,76,7,2,3,65,Medium,High,No,Medium,Yes,High,Medium,Public,Positive,No,High School,Male"
"1399,27,80,71,10,4,2,72,High,High,No,High,Yes,Low,Low,Public,Neutral,No,College,Male"
"1400,16,61,81,6,0,2,60,Medium,Low,Yes,Medium,Yes,Medium,Medium,Public,Negative,No,College,Male"
"1401,14,70,88,9,0,4,64,Medium,Medium,Yes,Low,Yes,High,Medium,Private,Positive,No,College,Female"
"1402,23,81,88,7,1,4,69,Medium,Medium,No,Low,Yes,Low,Medium,Public,Positive,No,Postgraduate,Male"
"1403,27,61,86,10,3,3,70,High,High,Yes,Medium,Yes,Medium,High,Private,Positive,No,High School,Female"
"1404,24,71,55,7,2,3,67,Medium,High,Yes,Low,Yes,High,Medium,Public,Positive,No,College,Male"
"1405,26,81,71,10,0,5,67,Medium,Medium,No,Low,Yes,Medium,Medium,Private,Positive,Yes,High School,Female"
"1406,15,83,91,8,0,3,64,Medium,Low,Yes,Medium,Yes,Low,Medium,Private,Neutral,No,College,Male"
"1407,11,97,83,8,4,2,68,Medium,Medium,Yes,Low,Yes,Medium,High,Private,Negative,No,High School,Male"
"1408,29,86,84,10,1,4,72,Medium,High,No,Low,Yes,Low,High,Private,Positive,No,High School,Female"
"1409,18,77,61,6,1,3,65,Medium,High,Yes,Medium,Yes,Low,Medium,Private,Neutral,No,High School,Female"
"1410,18,97,66,8,2,2,70,Medium,High,No,Low,Yes,Medium,Medium,Public,Neutral,No,College,Male"
"1411,28,91,98,7,2,5,75,High,Medium,No,Low,Yes,Low,Medium,Private,Positive,No,Postgraduate,Male"
"1412,23,68,92,7,3,4,65,Low,Low,Yes,Medium,No,Low,High,Private,Neutral,No,High School,Male"
"1413,23,65,58,7,1,3,63,Medium,High,Yes,Low,Yes,Low,Medium,Public,Neutral,Yes,College,Female"
"1414,33,87,77,8,0,3,71,Medium,High,No,Low,Yes,Low,Medium,Private,Positive,Yes,High School,Male"
"1415,16,82,75,8,2,2,66,Medium,Low,Yes,Medium,Yes,Medium,Medium,Public,Positive,No,College,Female"
"1416,26,92,72,6,1,3,69,Medium,Low,Yes,Medium,Yes,Low,Medium,Private,Neutral,No,High School,Female"
"1417,20,90,74,7,0,3,68,High,Medium,No,Low,No,High,Low,Private,Positive,No,Postgraduate,Female"
"1418,22,85,82,4,1,2,71,Medium,High,No,Medium,Yes,Medium,High,Public,Positive,No,Postgraduate,Male"
"1419,29,99,98,8,5,2,77,High,Medium,Yes,High,No,Low,Low,Public,Neutral,No,Postgraduate,Male"
"1420,23,81,94,10,1,2,70,High,Low,Yes,High,Yes,Medium,High,Public,Neutral,No,College,Female"
"1421,23,65,94,7,1,3,66,Medium,Medium,No,Medium,Yes,High,Medium,Public,Negative,No,College,Female"
"1422,26,93,85,5,1,3,73,High,Medium,No,Low,Yes,High,High,Public,Positive,No,College,Female"
"1423,18,70,51,8,1,3,62,Medium,Medium,Yes,Medium,Yes,Low,Medium,Private,Negative,No,College,Male"
"1424,15,91,72,6,0,2,65,Medium,Medium,No,Low,Yes,Medium,Medium,Public,Neutral,No,High School,Female"
"1425,14,98,76,7,0,2,71,High,High,Yes,Medium,Yes,Low,Medium,Public,Neutral,No,Postgraduate,Male"
"1426,8,88,92,8,1,4,66,Medium,Medium,Yes,High,Yes,Low,Medium,Public,Negative,No,College,Male"
"1427,32,84,96,8,1,3,72,Low,Medium,Yes,Medium,Yes,Low,Medium,Public,Positive,No,High School,Female"
"1428,13,78,73,9,0,4,64,Medium,Medium,Yes,Medium,Yes,Medium,High,Private,Negative,No,High School,Male"
"1429,19,75,65,7,0,4,63,Medium,Medium,No,Low,Yes,Low,Low,Private,Neutral,No,High School,Female"
"1430,18,74,67,7,0,3,63,Low,Medium,Yes,Low,Yes,Low,Medium,Public,Positive,No,High School,Male"
"1431,22,85,79,8,5,2,72,High,Medium,No,High,Yes,Medium,High,Public,Neutral,No,High School,Female"
"1432,25,90,64,7,2,2,71,Medium,Medium,Yes,Medium,Yes,Medium,High,Public,Positive,No,High School,Male"
"1433,25,87,96,6,3,2,72,High,High,Yes,Low,No,Medium,Medium,Public,Positive,No,High School,Female"
"1434,17,68,71,8,1,2,65,Medium,High,Yes,Medium,Yes,Medium,High,Private,Neutral,No,High School,Male"
"1435,19,80,100,5,0,3,67,Medium,Medium,Yes,Medium,Yes,Medium,Medium,Public,Neutral,No,High School,Female"
"1436,22,92,55,7,1,4,68,Low,High,Yes,Low,Yes,Low,Medium,Public,Positive,No,High School,Female"
"1437,19,79,59,5,2,2,66,Medium,High,Yes,Medium,Yes,Low,Medium,Private,Neutral,No,Postgraduate,Male"
"1438,30,81,76,6,0,3,72,Medium,High,No,Medium,Yes,High,Medium,Public,Positive,No,Postgraduate,Male"
"1439,23,91,93,6,3,3,71,High,Medium,No,Medium,Yes,Low,Low,Public,Neutral,No,High School,Female"
"1440,24,86,68,6,3,3,70,Medium,High,No,Low,Yes,Low,High,Public,Positive,Yes,College,Female"
"1441,24,76,92,9,1,3,68,Medium,Medium,No,Medium,Yes,Medium,Low,Public,Neutral,No,Postgraduate,Female"
"1442,27,96,71,9,0,4,72,Medium,High,No,Low,Yes,Low,Medium,Private,Positive,No,College,Female"
"1443,21,67,93,9,1,3,66,Low,Medium,Yes,High,Yes,Low,High,Public,Neutral,No,College,Male"
"1444,12,100,64,7,1,6,69,Medium,Medium,No,Medium,Yes,Medium,High,Public,Positive,No,High School,Male"
"1445,22,65,74,6,2,1,65,Low,Medium,Yes,High,Yes,Medium,Medium,Public,Positive,No,College,Male"
"1446,16,61,64,8,1,3,62,High,High,No,Medium,Yes,Low,High,Public,Positive,No,High School,Male"
"1447,17,96,61,7,1,1,69,High,High,No,Low,Yes,Low,High,Public,Positive,No,College,Female"
"1448,24,70,71,7,1,4,65,Medium,Medium,Yes,Medium,Yes,Medium,Low,Public,Negative,No,High School,Male"
"1449,27,89,67,4,2,4,69,Medium,Low,No,Medium,Yes,Low,Low,Private,Neutral,No,College,Female"
"1450,20,92,89,8,1,3,69,Low,High,Yes,Medium,Yes,Low,Medium,Public,Neutral,No,High School,Female"
"1451,22,94,87,8,2,5,73,High,Medium,Yes,Medium,Yes,Low,,Private,Neutral,No,College,Female"
"1452,30,100,68,7,2,2,75,High,Medium,Yes,Low,Yes,Medium,Medium,Private,Neutral,No,Postgraduate,Female"
"1453,21,72,100,8,3,3,70,High,High,Yes,Medium,Yes,Low,High,Private,Positive,No,College,Male"
"1454,36,88,99,8,0,3,74,Medium,High,No,High,Yes,Low,Medium,Private,Negative,No,College,Female"
"1455,23,65,96,6,0,3,65,Medium,Medium,Yes,Medium,Yes,Low,Low,Public,Positive,No,High School,Male"
"1456,9,76,79,7,1,3,63,Medium,Medium,No,Medium,Yes,Medium,Medium,Public,Negative,No,College,Male"
"1457,25,94,71,5,4,4,74,High,High,No,Low,Yes,Medium,High,Public,Negative,No,College,Female"
"1458,22,75,66,9,0,2,67,High,High,Yes,Low,Yes,Low,Medium,Private,Neutral,No,Postgraduate,Male"
"1459,28,84,51,8,3,4,71,Medium,Medium,Yes,Medium,No,Medium,Medium,Public,Positive,No,Postgraduate,Female"
"1460,24,80,82,6,1,3,68,High,Low,Yes,Medium,Yes,Low,High,Public,Neutral,No,College,Female"
"1461,19,86,78,8,2,4,69,High,Medium,No,Medium,Yes,Medium,Medium,Public,Negative,No,College,Female"
"1462,13,99,81,7,0,4,71,Medium,High,No,Medium,Yes,Medium,Medium,Public,Positive,No,Postgraduate,Male"
"1463,19,62,79,6,7,2,66,High,Medium,Yes,Low,Yes,Medium,Medium,Public,Neutral,No,High School,Female"
"1464,15,83,57,7,0,3,65,Medium,Medium,Yes,Low,Yes,Medium,Medium,Private,Positive,No,Postgraduate,Male"
"1465,17,95,85,8,1,2,66,Medium,Low,Yes,Low,No,Low,High,Private,Negative,No,College,Female"
"1466,24,79,68,8,2,2,65,Low,Low,Yes,High,Yes,Low,Medium,Private,Negative,No,High School,Male"
"1467,30,63,76,10,1,4,67,Medium,Medium,No,Medium,Yes,Medium,Medium,Public,Neutral,No,Postgraduate,Female"
"1468,22,82,68,7,2,4,70,High,Medium,No,High,Yes,Low,Medium,Private,Neutral,No,Postgraduate,Male"
"1469,13,73,51,7,1,4,63,Medium,Medium,Yes,Medium,Yes,Low,Medium,Public,Positive,No,Postgraduate,Male"
"1470,23,66,94,8,1,3,64,Low,Low,No,Low,Yes,Medium,High,Private,Neutral,No,Postgraduate,Male"
"1471,27,94,57,7,1,1,71,Medium,Medium,Yes,Medium,Yes,Medium,Medium,Private,Neutral,No,High School,Male"
"1472,16,81,79,6,2,3,68,Medium,High,Yes,Medium,Yes,Low,High,Public,Positive,No,College,Female"
"1473,19,97,94,6,2,4,72,Medium,Low,No,Medium,Yes,High,Medium,Public,Neutral,No,Postgraduate,Male"
"1474,20,92,61,4,2,4,71,Medium,High,Yes,Medium,Yes,High,Medium,Public,Neutral,No,College,Male"
"1475,15,88,71,8,1,2,64,Low,Low,Yes,Medium,No,Low,Low,Private,Positive,No,Postgraduate,Male"
"1476,24,60,69,5,1,5,64,High,Low,Yes,Medium,Yes,Medium,High,Public,Neutral,No,High School,Male"
"1477,19,77,54,6,3,2,66,High,Medium,Yes,Low,Yes,High,Medium,Private,Negative,No,College,Male"
"1478,23,68,71,7,3,3,68,Medium,High,Yes,High,Yes,Medium,,Public,Positive,No,High School,Female"
"1479,15,96,74,7,2,2,68,High,Medium,No,Medium,Yes,Low,Low,Private,Positive,No,High School,Male"
"1480,17,67,51,10,3,5,65,High,Medium,Yes,Medium,Yes,Low,Medium,Public,Positive,No,High School,Male"
"1481,24,71,74,5,1,3,67,Medium,Medium,Yes,Medium,Yes,Medium,Medium,Private,Positive,No,High School,Male"
"1482,18,81,55,10,3,2,64,Medium,Low,Yes,Low,Yes,Low,Medium,Public,Negative,No,High School,Male"
"1483,30,71,95,9,1,4,70,High,Medium,Yes,High,No,Medium,Medium,Public,Neutral,No,College,Male"
"1484,18,68,83,8,1,2,65,Medium,High,Yes,Low,Yes,Low,Medium,Public,Positive,No,College,Male"
"1485,21,84,53,9,2,3,65,Medium,Low,No,Low,Yes,Medium,High,Public,Negative,No,High School,Female"
"1486,26,64,91,8,1,4,68,High,Medium,No,High,Yes,Medium,Medium,Public,Positive,No,High School,Male"
"1487,11,62,68,4,2,3,61,Medium,High,Yes,Medium,Yes,High,Medium,Public,Negative,No,High School,Male"
"1488,9,75,61,8,3,3,63,High,Low,No,High,Yes,Medium,,Public,Neutral,No,High School,Male"
"1489,11,89,63,5,0,2,65,Medium,Medium,Yes,Medium,Yes,Medium,Medium,Public,Neutral,No,College,Female"
"1490,28,82,80,6,1,5,69,Medium,Medium,Yes,Medium,Yes,Low,Medium,Private,Neutral,No,High School,Female"
"1491,17,77,54,7,1,2,64,Medium,Medium,No,Low,Yes,Low,High,Public,Positive,No,College,Male"
"1492,35,83,53,6,1,2,69,Medium,Low,No,Medium,Yes,Low,Medium,Private,Neutral,No,High School,Female"
"1493,17,75,81,8,3,3,30,High,Medium,Yes,Low,Yes,High,Medium,Public,Neutral,Yes,Postgraduate,Male"
"1494,21,97,99,7,1,1,74,Medium,High,Yes,High,Yes,Medium,High,Public,Neutral,No,Postgraduate,Male"
"1495,29,62,74,8,1,3,66,High,Medium,Yes,Medium,Yes,Low,Medium,Private,Negative,Yes,College,Male"
"1496,32,87,71,7,0,4,72,Medium,High,Yes,Medium,Yes,High,Low,Public,Neutral,Yes,College,Male"
"1497,32,96,97,7,1,5,73,Medium,Low,Yes,Low,Yes,Low,Medium,Public,Neutral,No,College,Male"
"1498,27,92,62,6,0,4,73,High,Medium,No,High,Yes,Medium,High,Public,Positive,No,College,Male"
"1499,26,67,62,5,0,2,63,Low,Medium,Yes,High,Yes,Medium,Medium,Public,Negative,No,High School,Male"
"1500,24,72,95,7,3,2,69,High,Medium,Yes,Medium,Yes,Low,Medium,Public,Negative,No,Postgraduate,Male"
"1501,25,89,82,6,2,6,71,Low,Low,Yes,High,Yes,Low,Medium,Public,Neutral,No,Postgraduate,Male"
"1502,17,63,53,9,1,4,63,High,Medium,No,High,Yes,Low,High,Public,Neutral,No,College,Male"
"1503,15,92,84,5,0,5,69,Medium,High,Yes,Medium,Yes,High,Low,Public,Positive,No,High School,Female"
"1504,20,89,91,10,3,3,72,High,High,Yes,Low,Yes,Medium,Medium,Private,Neutral,No,College,Male"
"1505,19,89,64,7,2,4,68,High,Low,Yes,Medium,Yes,Low,Medium,Public,Positive,Yes,Postgraduate,Female"
"1506,17,64,69,7,1,3,62,Low,High,No,Medium,Yes,Medium,Medium,Public,Negative,No,High School,Female"
"1507,24,89,60,6,1,2,68,Low,High,Yes,Medium,Yes,Low,Medium,Private,Neutral,No,High School,Male"
"1508,26,87,82,8,1,2,71,Medium,Medium,Yes,High,Yes,Low,Medium,Public,Negative,No,Postgraduate,Male"
"1509,21,93,83,7,1,3,67,Medium,Low,Yes,Low,No,High,High,Public,Neutral,Yes,High School,Male"
"1510,29,62,53,7,0,3,65,Low,High,Yes,High,Yes,Low,Medium,Private,Positive,No,College,Female"
"1511,13,61,84,8,1,3,60,Low,Medium,Yes,High,No,Medium,High,Public,Neutral,Yes,Postgraduate,Male"
"1512,19,75,83,8,2,2,68,Medium,High,Yes,High,Yes,High,Medium,Public,Neutral,No,High School,Male"
"1513,16,66,52,9,1,3,59,Low,Medium,Yes,Medium,Yes,Medium,Low,Public,Negative,Yes,High School,Male"
"1514,9,82,78,8,0,0,64,High,Medium,No,Medium,Yes,High,Medium,Public,Neutral,No,,Female"
"1515,20,97,81,6,2,3,71,High,Medium,Yes,High,Yes,Low,Low,Public,Neutral,No,High School,Male"
"1516,19,76,72,4,2,2,68,High,High,No,Low,Yes,High,,Public,Neutral,No,College,Female"
"1517,29,94,95,7,2,3,70,Low,Medium,Yes,Medium,No,Low,Medium,Public,Neutral,Yes,College,Male"
"1518,24,60,66,7,1,4,62,Low,Low,No,Medium,Yes,Medium,High,Public,Neutral,No,College,Female"
"1519,14,67,53,10,2,3,62,Medium,Medium,No,Medium,Yes,High,Medium,Public,Neutral,No,College,Male"
"1520,31,61,84,7,2,3,68,High,Medium,No,Medium,Yes,Medium,Medium,Private,Neutral,No,High School,Male"
"1521,27,73,80,8,3,3,68,Medium,Medium,No,Low,Yes,Medium,Medium,Private,Negative,No,High School,Female"
"1522,23,96,99,8,3,4,74,Medium,Medium,Yes,High,Yes,Low,Low,Public,Positive,No,High School,Female"
